epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,566.568,1.08158,1.1389,0.36082,0.42407,0.02298,3.4813,0.99496,0.99,0.99445,0.65433,0.97985,0.975,0.97298,0.72735,1.26233,0.95299,0.54749,0.30055,0.05057,0,0.00138125,0.00138125,0.00138125
27,588.108,1.06602,1.05953,0.34866,0.38651,0.02283,3.28261,0.98985,1,0.9949,0.73284,0.97495,0.985,0.98306,0.77468,0.9791,0.78902,0.54989,0.24543,0.03864,0,0.0013565,0.0013565,0.0013565
28,609.642,1.06396,1.01229,0.35225,0.41978,0.02244,3.81669,0.99816,0.995,0.995,0.74212,0.98812,0.985,0.98424,0.761,0.95376,0.83302,0.57128,0.23817,0.03785,0,0.00133175,0.00133175,0.00133175
29,631.259,0.9974,1.01367,0.35035,0.39444,0.02099,3.52151,1,0.99379,0.995,0.74746,0.98994,0.98379,0.9843,0.78532,0.89782,0.7549,0.48902,0.23099,0.0353,0,0.001307,0.001307,0.001307
30,652.809,1.02009,1.06237,0.34174,0.3866,0.02159,3.44717,0.99985,1,0.995,0.75778,0.98465,0.985,0.98092,0.75591,0.92071,0.78236,0.46521,0.23029,0.03684,0,0.00128225,0.00128225,0.00128225
31,674.353,0.98219,0.97208,0.33947,0.36484,0.02111,2.91832,0.99927,1,0.995,0.74948,0.98425,0.985,0.98356,0.81594,0.8906,0.73796,0.4574,0.23273,0.03553,0,0.0012575,0.0012575,0.0012575
32,695.922,1.00918,1.0659,0.34239,0.38182,0.02172,3.25807,1,0.99996,0.995,0.6899,0.985,0.98498,0.98266,0.76311,1.12082,0.81129,0.52978,0.26531,0.04481,0,0.00123275,0.00123275,0.00123275
33,717.455,0.99938,1.01981,0.33609,0.38483,0.02179,3.05862,0.99502,0.99935,0.99495,0.63264,0.98009,0.98435,0.97985,0.6926,1.23131,1.02337,0.45618,0.30238,0.0507,0,0.001208,0.001208,0.001208
34,739,0.97679,0.95833,0.34407,0.36072,0.02081,2.7696,0.98467,0.99,0.99429,0.74348,0.9797,0.985,0.98409,0.7722,0.93843,0.81521,0.5121,0.2442,0.03734,0,0.00118325,0.00118325,0.00118325
35,760.583,0.96155,0.94611,0.33301,0.36623,0.01999,2.7709,0.99502,0.99996,0.99495,0.77946,0.98507,0.99,0.98424,0.80034,0.84809,0.72705,0.44601,0.21901,0.03353,0,0.0011585,0.0011585,0.0011585
36,782.192,0.98055,0.96898,0.33106,0.37878,0.02088,2.69549,1,0.99961,0.995,0.68628,0.98499,0.98463,0.98356,0.75218,1.15759,0.85637,0.47654,0.28716,0.04604,0,0.00113375,0.00113375,0.00113375
37,803.814,1.00736,0.92145,0.33165,0.37507,0.0215,3.22212,0.98875,1,0.99495,0.72532,0.97883,0.99,0.98397,0.7425,0.98911,0.87944,0.59213,0.25254,0.03929,0,0.001109,0.001109,0.001109
38,825.348,0.94228,0.91846,0.33036,0.37021,0.0195,2.66947,0.99005,0.99473,0.9944,0.79031,0.9801,0.98479,0.9838,0.80653,0.81609,0.68702,0.4659,0.23157,0.03218,0,0.00108425,0.00108425,0.00108425
39,846.874,0.91487,0.89994,0.3333,0.36735,0.01924,2.60549,0.99502,0.99993,0.99495,0.7624,0.98507,0.98993,0.98343,0.81617,0.89462,0.6658,0.50438,0.23079,0.03536,0,0.0010595,0.0010595,0.0010595
40,868.412,0.9694,0.96165,0.32379,0.38018,0.01992,2.62444,0.99495,0.98438,0.9946,0.68967,0.98484,0.97458,0.98321,0.77136,1.1093,0.80458,0.56222,0.29617,0.0436,0,0.00103475,0.00103475,0.00103475
41,889.957,0.93518,0.88145,0.32486,0.34591,0.01964,2.51281,0.97511,0.9793,0.9924,0.70919,0.9652,0.97089,0.98194,0.77129,1.06187,0.78139,0.54682,0.29612,0.04231,0,0.00101,0.00101,0.00101
42,910.379,0.94669,0.95824,0.31932,0.35914,0.01994,2.52683,0.99567,0.985,0.99485,0.66593,0.98546,0.975,0.98399,0.74728,1.16166,0.84758,0.48074,0.29687,0.04733,0,0.00098525,0.00098525,0.00098525
43,931.978,0.89975,0.87076,0.32062,0.37784,0.01874,2.41844,0.99839,0.985,0.9948,0.7745,0.98261,0.97,0.98256,0.80341,0.85702,0.71667,0.49229,0.23113,0.0338,0,0.0009605,0.0009605,0.0009605
44,953.527,0.8964,0.81222,0.31854,0.34098,0.01866,2.15955,0.99499,0.99332,0.9949,0.75303,0.97997,0.97832,0.98054,0.81654,0.92153,0.65815,0.49102,0.24608,0.03638,0,0.00093575,0.00093575,0.00093575
45,975.074,0.93172,0.87573,0.30958,0.3568,0.01988,2.7119,0.96969,0.995,0.99421,0.71989,0.95009,0.975,0.96431,0.79294,1.01757,0.69581,0.49184,0.27561,0.04013,0,0.000911,0.000911,0.000911
46,996.604,0.91653,0.8417,0.31337,0.35538,0.01922,2.43137,0.99502,0.99919,0.995,0.55715,0.98506,0.98922,0.98397,0.66,1.57429,1.07334,0.52509,0.38639,0.06605,0,0.00088625,0.00088625,0.00088625
47,1018.1,0.96367,0.85482,0.31434,0.35834,0.02007,2.80501,0.99792,0.995,0.995,0.74352,0.98288,0.98,0.9836,0.78622,0.93329,0.76363,0.50079,0.24238,0.03691,0,0.0008615,0.0008615,0.0008615
48,1039.68,0.89365,0.85829,0.31726,0.33973,0.01874,2.28267,0.99921,1,0.995,0.74594,0.98922,0.99,0.98465,0.81316,0.97212,0.6968,0.48933,0.2331,0.03801,0,0.00083675,0.00083675,0.00083675
49,1061.23,0.91417,0.85361,0.31291,0.33795,0.01919,2.50124,0.99502,0.9993,0.99495,0.76999,0.98009,0.9843,0.97987,0.79467,0.86078,0.71839,0.4511,0.21669,0.03429,0,0.000812,0.000812,0.000812
50,1082.8,0.88894,0.82848,0.31249,0.35729,0.01874,2.19854,1,0.99959,0.995,0.73993,0.99,0.98959,0.98449,0.77694,0.95554,0.76891,0.43459,0.23758,0.0381,0,0.00078725,0.00078725,0.00078725
51,1104.36,0.85643,0.84859,0.31262,0.35147,0.01772,2.16671,0.99278,0.99,0.9948,0.70761,0.97746,0.975,0.97875,0.76411,1.02465,0.78758,0.48457,0.26611,0.04139,0,0.0007625,0.0007625,0.0007625
52,1125.87,0.852,0.85463,0.3101,0.33989,0.01772,2.17101,1,0.99965,0.995,0.73712,0.97999,0.97965,0.96921,0.77818,0.92948,0.75072,0.51784,0.23311,0.03665,0,0.00073775,0.00073775,0.00073775
53,1147.4,0.87487,0.80339,0.30385,0.3445,0.01808,2.40654,0.97465,1,0.99455,0.77229,0.96484,0.99,0.98368,0.78729,0.85203,0.70023,0.40888,0.22951,0.03333,0,0.000713,0.000713,0.000713
